Date,Time,Open,High,Low,Close,Volume,Turnover,OpenInterest
4/21/95,0:00:00,4226.51,4256.25,4215.44,4253.48,0,0,0
4/24/95,0:00:00,4270.09,4270.78,4255.91,4269.05,0,0,0
4/25/95,0:00:00,4271.82,4315.39,4264.9,4305.71,0,0,0
4/26/95,0:00:00,4303.63,4311.93,4283.23,4293.26,0,0,0
4/27/95,0:00:00,4295.33,4307.78,4289.11,4297.06,0,0,0
4/28/95,0:00:00,4299.48,4318.5,4282.88,4296.72,0,0,0
5/1/95,0:00:00,4322.3,4327.15,4302.25,4307.78,0,0,0
5/2/95,0:00:00,4309.51,4324.03,4306.4,4314.35,0,0,0
5/3/95,0:00:00,4317.12,4348.94,4315.04,4348.94,0,0,0
5/4/95,0:00:00,4372.8,4383.18,4361.39,4383.18,0,0,0
5/5/95,0:00:00,4398.74,4410.15,4327.5,4337.88,0,0,0
5/6/95,0:00:00,4344.1,4364.16,4338.91,4343.4,0,0,0
5/8/95,0:00:00,4340.98,4355.85,4335.1,4351.7,0,0,0
5/9/95,0:00:00,4352.05,4403.58,4351.7,4380.76,0,0,0
5/10/95,0:00:00,4377.64,4396.32,4375.22,4391.48,0,0,0
5/11/95,0:00:00,4392.51,4420.52,4375.22,4412.92,0,0,0
5/12/95,0:00:00,4414.99,4434.7,4393.55,4422.94,0,0,0
5/13/95,0:00:00,4423.63,4432.97,4416.72,4430.56,0,0,0
5/15/95,0:00:00,4430.21,4445.08,4417.76,4442.31,0,0,0
5/16/95,0:00:00,4442.31,4443.7,4429.52,4434.01,0,0,0
5/17/95,0:00:00,4439.55,4443.35,4422.25,4429.86,0,0,0
5/18/95,0:00:00,4429.52,4429.52,4384.21,4390.44,0,0,0
5/19/95,0:00:00,4340.99,4340.99,4311.25,4316.78,0,0,0
5/20/95,0:00:00,4320.93,4345.48,4320.58,4341.33,0,0,0
5/22/95,0:00:00,4342.37,4383.52,4342.37,4380.75,0,0,0
5/23/95,0:00:00,4376.95,4419.49,4376.6,4413.26,0,0,0
5/24/95,0:00:00,4414.3,4458.22,4394.59,4444.39,0,0,0
5/25/95,0:00:00,4447.85,4452.34,4404.62,4408.08,0,0,0
5/26/95,0:00:00,4401.85,4425.37,4361.05,4377.3,0,0,0
5/27/95,0:00:00,4379.03,4389.06,4355.17,4369,0,0,0
5/29/95,0:00:00,4369,4369,4369,4369,0,0,0
5/30/95,0:00:00,4369.35,4389.4,4354.13,4358.28,0,0,0
5/31/95,0:00:00,4357.94,4400.47,4352.4,4397.36,0,0,0
6/1/95,0:00:00,4397.7,4478.28,4391.13,4446.81,0,0,0
6/2/95,0:00:00,4446.47,4488.3,4430.9,4466.17,0,0,0
6/3/95,0:00:00,4460.99,4463.41,4431.59,4444.39,0,0,0
6/5/95,0:00:00,4444.04,4465.83,4439.55,4464.79,0,0,0
6/6/95,0:00:00,4464.44,4493.84,4460.99,4487.96,0,0,0
6/7/95,0:00:00,4484.85,4491.42,4463.76,4468.95,0,0,0
6/8/95,0:00:00,4466.52,4474.82,4448.89,4462.38,0,0,0
6/9/95,0:00:00,4463.76,4468.6,4418.46,4432.98,0,0,0
6/10/95,0:00:00,4428.14,4428.14,4406.7,4423.99,0,0,0
6/12/95,0:00:00,4424.68,4458.23,4424.68,4454.42,0,0,0
6/13/95,0:00:00,4460.3,4469.64,4443.7,4468.6,0,0,0
6/14/95,0:00:00,4474.13,4491.42,4464.1,4464.8,0,0,0
6/15/95,0:00:00,4467.22,4501.8,4467.22,4493.84,0,0,0
6/16/95,0:00:00,4494.19,4516.67,4484.16,4510.44,0,0,0
6/17/95,0:00:00,4510.44,4517.01,4504.57,4508.02,0,0,0
6/20/95,0:00:00,4553.68,4554.02,4540.19,4549.18,0,0,0
6/21/95,0:00:00,4546.41,4558.86,4535,4552.29,0,0,0
6/22/95,0:00:00,4552.29,4578.23,4542.26,4572,0,0,0
6/23/95,0:00:00,4571.31,4589.64,4484.51,4584.79,0,0,0
6/24/95,0:00:00,4584.45,4587.91,4583.07,4585.14,0,0,0
6/26/95,0:00:00,4585.84,4592.75,4561.98,4563.01,0,0,0
6/27/95,0:00:00,4563.01,4574.08,4544.34,4570.27,0,0,0
6/28/95,0:00:00,4569.24,4573.04,4528.78,4571.66,0,0,0
6/29/95,0:00:00,4574.08,4577.88,4534.31,4539.84,0,0,0
6/30/95,0:00:00,4538.11,4578.92,4522.21,4577.88,0,0,0
7/1/95,0:00:00,4578.92,4580.99,4544.68,4577.88,0,0,0
7/3/95,0:00:00,4555.75,4574.42,4551.6,4573.39,0,0,0
7/4/95,0:00:00,4574.08,4585.15,4571.31,4585.15,0,0,0
7/5/95,0:00:00,4586.18,4622.49,4585.84,4619.38,0,0,0
7/6/95,0:00:00,4620.42,4630.79,4601.4,4609.35,0,0,0
7/7/95,0:00:00,4610.74,4693.04,4605.55,4684.05,0,0,0
7/8/95,0:00:00,4684.4,4704.8,4684.4,4702.73,0,0,0
7/10/95,0:00:00,4702.38,4727.97,4697.89,4698.93,0,0,0
7/11/95,0:00:00,4698.58,4709.3,4679.91,4698.58,0,0,0
7/12/95,0:00:00,4698.93,4702.38,4670.57,4693.74,0,0,0
7/13/95,0:00:00,4694.78,4733.85,4683.37,4724.67,0,0,0
7/14/95,0:00:00,4723.96,4735.23,4688.04,4701.42,0,0,0
7/15/95,0:00:00,4703.53,4709.87,4697.9,4708.82,0,0,0
7/17/95,0:00:00,4708.82,4728.54,4704.59,4722.2,0,0,0
7/18/95,0:00:00,4722.91,4746.86,4679.94,4689.8,0,0,0
7/19/95,0:00:00,4689.8,4698.25,4656.69,4666.2,0,0,0
7/20/95,0:00:00,4665.5,4667.61,4553.85,4636.27,0,0,0
7/21/95,0:00:00,4635.91,4650.71,4620.77,4637.68,0,0,0
7/22/95,0:00:00,4637.68,4649.65,4611.61,4641.55,0,0,0
7/24/95,0:00:00,4642.25,4678.88,4640.84,4677.47,0,0,0
7/25/95,0:00:00,4678.53,4692.27,4661.62,4691.91,0,0,0
7/26/95,0:00:00,4691.91,4725.37,4687.69,4707.41,0,0,0
7/27/95,0:00:00,4706.71,4741.93,4691.56,4729.6,0,0,0
7/28/95,0:00:00,4729.6,4738.05,4706,4725.37,0,0,0
7/29/95,0:00:00,4725.02,4731.01,4712.34,4715.51,0,0,0
7/31/95,0:00:00,4715.86,4725.72,4687.69,4709.52,0,0,0
8/1/95,0:00:00,4709.17,4720.44,4667.26,4678.88,0,0,0
